"bloco","bairro","regiao","data","data_relativa","concentracao","desfile","final","local_da_concentracao","percurso","publico_estimado","ano_do_primeiro_desfile","label","lon","lat"
"Unidos da Travessa Miracema","Méier","Zona Norte 2",2018-02-10,"Sábado de Carnaval",1899-12-31 14:00:00,1899-12-31 19:00:00,1899-12-31 20:00:00,"travessa miracema rio de janeiro","Travessa Miracema, Rua Dias da Cruz até a Magalhães Couto, retornando pela Dias da Cruz até a Travessa Miracema",1200,2018,"Bloco: Unidos da Travessa Miracema - Bairro: Méier - Regiao: Zona Norte 2Data: 2018-02-10 - Concentração 14:00:00",NA,NA
"Vamos que Vamos","Campo Grande","Zona Oeste",2018-02-10,"Sábado de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 20:00:00,"rua santo amando rio de janeiro","Rua Santo Amando, Rua Damião de Goes, Rua São Potito, Rua Henri Dunant e retorno a origem",600,2017,"Bloco: Vamos que Vamos - Bairro: Campo Grande - Regiao: Zona Norte 2Data: 2018-02-10 - Concentração 16:00:00",-43.5499606,-22.904841
"Vem Comigo","Vila Cosmos","Zona Norte 1",2018-02-10,"Sábado de Carnaval",1899-12-31 14:00:00,1899-12-31 17:30:00,1899-12-31 19:00:00,"rua itacambira c av  meriti rio de janeiro","Rua Alecrim, Rua Itacambira com Rua Imbiaça.",1200,2000,"Bloco: Vem Comigo - Bairro: Vila Cosmos - Regiao: Zona Norte 2Data: 2018-02-10 - Concentração 14:00:00",NA,NA
"Verde e Branco do Zumbi","Ilha do Governador","Zona Norte 3",2018-02-10,"Sábado de Carnaval",1899-12-31 10:00:00,1899-12-31 11:00:00,1899-12-31 16:00:00,"rua peixoto de carvalho rio de janeiro","Rua Peixoto de Carvalho, Praia do Zumbi, Rua Pojuca, Estrada do Rio Jequiá, Rua Gaspar de Souza e Rua Peixoto de Carvalho",600,2001,"Bloco: Verde e Branco do Zumbi - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-10 - Concentração 10:00:00",-43.1757418,-22.821293
"Virilha de Minhoca","Bangu","Zona oeste",2018-02-10,"Sábado de Carnaval",1899-12-31 18:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"rua fonseca  rio de janeiro","Rua fonseca, rua oliveira ribeiro, Av. Cônego de Vasconcelos, Rua Santa Cecilia, Rua Fonseca",6000,2002,"Bloco: Virilha de Minhoca - Bairro: Bangu - Regiao: Zona Norte 2Data: 2018-02-10 - Concentração 18:00:00",-43.4655499,-22.8819827
"10+ Malandros","Bangu","Zona Oeste",2018-02-11,"Domingo de Carnaval",1899-12-31 12:00:00,1899-12-31 15:00:00,1899-12-31 18:00:00,"rua bela flor  rio de janeiro","Rua Bela Flor, Rua Figueiredo Camargo com deslocamento até a Rua Cherburgo (Ponto Chic)",2000,2012,"Bloco: 10+ Malandros - Bairro: Bangu - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 12:00:00",-43.4606057,-22.8698336
"A Nega Indoidou","Centro","Centro",2018-02-11,"Segunda-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"rua alvaro alvim rio de janeiro","Parado",1000,2012,"Bloco: A Nega Indoidou - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.1762965,-22.9111083
"Afoxé Filhos de Gandhi","Gamboa","Centro",2018-02-11,"Domingo de Carnaval",1899-12-31 17:00:00,1899-12-31 18:00:00,1899-12-31 21:00:00,"praca da harmonia rio de janeiro","Rua Sacadura Cabral, Rua Camerino e Praça dos Estivadores",500,1952,"Bloco: Afoxé Filhos de Gandhi - Bairro: Gamboa - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 17:00:00",-43.1916385,-22.8955242
"Ai, Que Vergonha!","São Conrado","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"avenida prefeito mendes de moraes  rio de janeiro","Avenida Prefeito Mendes de Moraes, Avenida Aquarela do Brasil e Rua Berta Lutz 80",900,2007,"Bloco: Ai, Que Vergonha! - Bairro: São Conrado - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.264615,-22.9994655
"Alegria de Palmares","Jardim Palmares","Zona Oeste",2018-02-11,"Domingo  de Carnaval",1899-12-31 15:00:00,1899-12-31 16:00:00,1899-12-31 18:00:00,"bar do jaco rio de janeiro","Início: Rua Soldado Elias de Souza, Rua Felisbino dos Santos, Rua Soldado Julio de Vasconcelos, Caio Basílio Junior e volta para a Rua Elias de Souza",500,2010,"Bloco: Alegria de Palmares - Bairro: Jardim Palmares - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 15:00:00",-43.6401871,-22.8875177
"Alegria de Quintino","Quintino Bocaiúva","Zona Norte 1",2018-02-11,"Domingo de Carnaval",1899-12-31 14:00:00,1899-12-31 17:00:00,1899-12-31 20:00:00,"rua olina rio de janeiro","Rua Olina, Rua Barros Leite, Elias da Silva, Nerval de Gouveia e finaliza na Praça de Quintino",300,2005,"Bloco: Alegria de Quintino - Bairro: Quintino Bocaiúva - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 14:00:00",-43.3165313,-22.8914811
"Amigos da Esquina de Madureira - Fla Esquina","Madureira","Zona Norte 1",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1900-01-01 19:00:00,1899-12-31 21:00:00,"praca de magno rio de janeiro","Parado",500,2017,"Bloco: Amigos da Esquina de Madureira - Fla Esquina - Bairro: Madureira - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.1745717,-22.7874422
"Areia","Leblon","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"posto  rio de janeiro","Sai do posto 12 até o posto 11",10000,2003,"Bloco: Areia - Bairro: Leblon - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 08:00:00",-43.1899079,-22.9556832
"Badalo de Santa Teresa","Santa Teresa","Centro",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 17:30:00,1899-12-31 22:00:00,"rua monte alegre    rio de janeiro","Segue pela Rua do Oriente, Rua Progresso até dispersar no Largo das Neves",1000,1972,"Bloco: Badalo de Santa Teresa - Bairro: Santa Teresa - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.1881015,-22.9196448
"Bafo do Peru","Padre Miguel","Zona Oeste",2018-02-11,"Domingo de Carnaval",1899-12-31 17:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua tapiranga  largo  rio de janeiro","Rua Tapiranga, Rua Icote, Rua Ceriba, Rua Pedro Melo, Rua Maria Rosa, Largo da Tapiranga",800,2008,"Bloco: Bafo do Peru - Bairro: Padre Miguel - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 17:00:00",NA,NA
"Balanço do Pinto","Tijuca","Tijuca e Adj",2018-02-11,"Domingo de Carnaval",1899-12-31 17:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"rua pinto de figueiredo  rio de janeiro","Rua Pinto de Figueiredo, Avenida Maracanã, Rua Barão de Mesquita, Rua General Roca, Rua Conde de Bonfim e Rua Pinto de Figueiredo",1000,2009,"Bloco: Balanço do Pinto - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 17:00:00",-43.236111,-22.9249203
"Bambas do Catete","Catete","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 15:00:00,1899-12-31 15:00:00,1899-12-31 21:00:00,"praca do poeta rio de janeiro","Praça do Poeta - Parado",1000,2002,"Bloco: Bambas do Catete - Bairro: Catete - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 15:00:00",-43.192434,-22.9854223
"Banda da Amizade","Lapa","Centro",2018-02-11,"Domingo de Carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"rua tadeu kosciusco rio de janeiro","Rua Tadeu Kosciusko, Carlos Sampaio, Washington Luiz, Conselheiro Josino, Henrique Valadares, Cruz Vermelha, Carlos Sampaio  e Rua Tadeu Kosciusko",1000,1999,"Bloco: Banda da Amizade - Bairro: Lapa - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 15:00:00",-43.1883721,-22.9144485
"Banda da Conceição","Saúde","Centro",2018-02-11,"Domingo de Carnaval",1899-12-31 17:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca major valo rio de janeiro","Praça major Valo, Ladeira João Homem, Rua Sacadura Cabral, Rua São Francisco da Prainha, Pedra do Sal, Jogo da Bola, Preça Major Valo",500,1971,"Bloco: Banda da Conceição - Bairro: Saúde - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 17:00:00",-43.1829585,-22.8987146
"Banda da Glória","Glória","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"rua da gloria  rio de janeiro","Parado",500,1974,"Bloco: Banda da Glória - Bairro: Glória - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.1770481,-22.9192102
"Banda da Inválidos","Lapa","Centro",2018-02-11,"Domingo de Carnaval",1899-12-31 16:30:00,1899-12-31 18:30:00,1899-12-31 22:00:00,"rua dos invalidos entre av  mem de sa e henrique valadares rio de janeiro","Rua dos Inválidos, Rua do Senado, Rua Ubaldino do Amaral, Av.Henrique Valadares, Rua dos Inválidos;",1000,1976,"Bloco: Banda da Inválidos - Bairro: Lapa - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:30:00",NA,NA
"Banda da Penha","Penha","Zona Norte 1",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1900-01-02 20:00:00,1900-01-02 22:00:00,"largo da rua couto rio de janeiro","Parado",1000,2014,"Bloco: Banda da Penha - Bairro: Penha - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.2359697,-22.8904448
"Banda do Bairro de Fátima","Bairro de Fátima","Centro",2018-02-11,"Domingo de Carnaval",1899-12-31 10:00:00,1899-12-31 11:00:00,1899-12-31 15:00:00,"praca presidente aguirre cerda rio de janeiro","Praça Presidente Aguirre Cerda, Av. Nossa Senhora de Fatima, Rua Tadeu Kosciusko, Rua do Resende, Rua Ubaldino do Amaral, Washington, Rua Tadeu Kosciusko, Av. Nossa Senhora de Fátima.",900,1977,"Bloco: Banda do Bairro de Fátima - Bairro: Bairro de Fátima - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 10:00:00",-43.1881625,-22.917829
"Banda do Lidinho","Copacabana","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 15:00:00,1899-12-31 15:00:00,1899-12-31 19:00:00,"praca do lido rio de janeiro","Praça do Lido - Parado",1000,1969,"Bloco: Banda do Lidinho - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 15:00:00",-43.1760228,-22.9654924
"Banda do Recreio","Recreio dos Bandeirantes","Barra/JPA",2018-02-11,"Domingo de Carnaval",1899-12-31 13:00:00,1899-12-31 14:00:00,1899-12-31 19:00:00,"posto  rio de janeiro","Posto 10 do Recreio ao Posto 9.",3000,2005,"Bloco: Banda do Recreio - Bairro: Recreio dos Bandeirantes - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 13:00:00",-43.1899079,-22.9556832
"Banda Du Rio","Copacabana","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"posto  de copacabana rio de janeiro","Segue pela Av. Atlântica até altura da Rua Miguel Lemos",5000,2017,"Bloco: Banda Du Rio - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 08:00:00",-43.1861802,-22.9735468
"Bangalafumenga","Aterro do Flamengo","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"proximo ao monumento dos pracinhas rio de janeiro","Parado",60000,1998,"Bloco: Bangalafumenga - Bairro: Aterro do Flamengo - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 08:00:00",-43.1734423,-22.9166241
"Batalha dos Blocos","Recreio dos Bandeirantes","Barra/JPA",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"praia do recreio posto  rio de janeiro","Parado",4000,2017,"Bloco: Batalha dos Blocos - Bairro: Recreio dos Bandeirantes - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.4713169,-23.032474
"Birita mas num cai","Madureira","Zona Norte 1",2018-02-11,"Domingo  de Carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"bar do julio fragoso rio de janeiro","Início: Julio Fragoso, Clara Nunes, Estrada do Portela – Retorno: Praça Paulo Portela, Estrada do Portela, Clara Nunes, Julio Fragoso.",600,2017,"Bloco: Birita mas num cai - Bairro: Madureira - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 15:00:00",-43.343158,-22.8716004
"Bloco Boemios do Catruz","Pedra de Guaratiba","Zona Oeste",2018-02-11,"Domingo de carnaval",1899-12-31 21:00:00,1899-12-31 21:00:00,1899-12-31 22:00:00,"praca dr  raul capello barrozo rio de janeiro","Parado",1500,2010,"Bloco: Bloco Boemios do Catruz - Bairro: Pedra de Guaratiba - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 21:00:00",NA,NA
"Bloco Chega Mais","Piedade","Zona Norte 2",2018-02-11,"Domingo de Carnaval",1899-12-31 15:30:00,1899-12-31 16:00:00,1899-12-31 21:00:00,"rua padre manoel da nobrega rio de janeiro","Início: Padre Manoel de Nobrega Nº114, Av Dom Helder Câmara por 600 metros, retorna no sentido Cascadura",3500,2004,"Bloco: Bloco Chega Mais - Bairro: Piedade - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 15:30:00",-43.313585,-22.8801555
"Bloco Confetes e Serpentinas","Pedra de Guaratiba","zona oeste",2018-02-11,"Domingo de Carnaval",1899-12-31 19:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"praca dr  raul capello barrozo rio de janeiro","Parado",1500,2016,"Bloco: Bloco Confetes e Serpentinas - Bairro: Pedra de Guaratiba - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 19:00:00",NA,NA
"Bloco da Chaleira do Vidigal","Leblon","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 14:00:00,1899-12-31 15:00:00,1899-12-31 18:00:00,"av  delfim moreira esquina com jardim de alah rio de janeiro","Av. Delfim Moreira com Jardim de Alah até o final da Avenida. (Posto 12)",700,1995,"Bloco: Bloco da Chaleira do Vidigal - Bairro: Leblon - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 14:00:00",NA,NA
"Bloco da Coroinha","Pedra de Guaratiba","Zona Oeste",2018-02-11,"Domingo de Carnaval",1899-12-31 17:00:00,1899-12-31 18:00:00,1899-12-31 20:00:00,"rua barros de alarcao  praca sao pedro rio de janeiro","Rua Barros de Alarcão n°216 ao n°579",200,2007,"Bloco: Bloco da Coroinha - Bairro: Pedra de Guaratiba - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 17:00:00",NA,NA
"Bloco do Boi ""Só Falta Você!""","Pedra de Guaratiba","Zona Oeste",2018-02-11,"Domingo de Carnaval",1899-12-31 18:00:00,1899-12-31 18:50:00,1899-12-31 22:00:00,"rua barros de alarcao  praca sao pedro rio de janeiro","Rua Barros de Alarcão até o final da rua",200,2010,"Bloco: Bloco do Boi ""Só Falta Você!"" - Bairro: Pedra de Guaratiba - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 18:00:00",NA,NA
"Bloco do Pente","Ilha do Governador","Zona Norte 3",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"praca dos bancarios rio de janeiro","Praça dos Bancários, Av. das Enxadas, Praia dos Bancários",1500,2014,"Bloco: Bloco do Pente - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.181123,-22.790341
"Bloco dos Palhacinhos","Brás de Pina","Zona Norte 1",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 19:30:00,1899-12-31 22:00:00,"estrada do quitungo  rio de janeiro","Estrada do Quitungo, do nº 1221 ate no 1970 e retorna a origem.",800,2015,"Bloco: Bloco dos Palhacinhos - Bairro: Brás de Pina - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.3022151,-22.8317288
"Bloco Quilombo Cafundá Astrogilda","Vargem Grande","Barra/JPA",2018-02-11,"Domingo de Carnaval",1899-12-31 15:00:00,1899-12-31 18:00:00,1899-12-31 21:00:00,"concentracao na comunidade quilombo astrogilda rio de janeiro","Concentração na comunidade Quilombo Astrogilda, núcleo Cafunda Dramice, Bar Cantinho da Serra, Bar do na Boa e finalizando pela estrada do Macuiba até o largo de Vargem Grande",200,2017,"Bloco: Bloco Quilombo Cafundá Astrogilda - Bairro: Vargem Grande - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 15:00:00",NA,NA
"Bloco Só Te Pegando","Barra da Tijuca","Barra/JPA",2018-02-11,"domingo de carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"av  lucio costa posto  rio de janeiro","Parado",500,2010,"Bloco: Bloco Só Te Pegando - Bairro: Barra da Tijuca - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 15:00:00",NA,NA
"Boi de Anchieta","Anchieta","Zona Norte 1",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca nossa senho de nazare rio de janeiro","Praça Nazaré, Rua Motorista Luiz de Abreu, Avenida Nazaré, Rua Motoriasta Luiz de Abreu, Praça Nazaré",2000,1945,"Bloco: Boi de Anchieta - Bairro: Anchieta - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",NA,NA
"Bonecas Deslumbradas de Olaria","Olaria","Zona Norte 3",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 20:00:00,"rua conselheiro paulino  rio de janeiro","Rua Conselheiro Paulino, Rua Antônio Rêgo, Rua Lígia, Rua Wandelkok e Rua Conselheiro Paulino",4000,1977,"Bloco: Bonecas Deslumbradas de Olaria - Bairro: Olaria - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.268331,-22.8527132
"Buda da Barra","Barra da Tijuca","Barra/JPA",2018-02-11,"Domingo de Carnaval",1899-12-31 09:00:00,1899-12-31 13:00:00,1899-12-31 15:00:00," rio de janeiro","Saindo do Bondinho da Barra até a Praça do Ó",1000,1970,"Bloco: Buda da Barra - Bairro: Barra da Tijuca - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 09:00:00",-43.1728965,-22.9068467
"Cabrito Mamador","Ilha do Governador","Zona Norte 3",2018-02-11,"Domingo de Carnaval",1899-12-31 10:00:00,1899-12-31 12:00:00,1899-12-31 16:00:00,"rua sao sebastiao rio de janeiro","Estrada do Dendê, Rua Prof. Hilarião da Rocha, Rua Capanema, Av. Paranapuan, Estrada do Dendê e Rua São Sebastião",1500,2017,"Bloco: Cabrito Mamador - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 10:00:00",-43.2449524,-22.8500218
"Cachorro Cansado","Flamengo","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca jose de alencar rio de janeiro","Praça José de Alencar, Rua Marquês de Abrantes, Rua Marquês de Paraná, Rua Senador Vergueiro, Rua Barão do Flamengo e Praça José de Alencar",10000,1987,"Bloco: Cachorro Cansado - Bairro: Flamengo - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.1772147,-22.9331895
"Caldeirão do Coqueiro","Santíssimo","Zona Oeste",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"praca do coqueiro rio de janeiro","Parado",500,2010,"Bloco: Caldeirão do Coqueiro - Bairro: Santíssimo - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",NA,NA
"Cantinho do Urubu","Madureira","Zona Norte 1",2018-02-11,"Domingo de Carnaval",1899-12-31 20:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"estrada do portela  rio de janeiro","Parado",1000,2013,"Bloco: Cantinho do Urubu - Bairro: Madureira - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 20:00:00",-43.3430886,-22.8687916
"Choppinho da Paula Freitas com Boca Maldita","Copacabana","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 22:00:00,"rua paula freitas rio de janeiro","Av. Atlântica com Paula Freitas, até a Rodolfo Dantas e retorna ao local de origem.",2000,1994,"Bloco: Choppinho da Paula Freitas com Boca Maldita - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",NA,NA
"Coração das Crianças","Rocinha","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 18:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"rua nova  antiga rua   rio de janeiro","Rua 4 até Cidade Nova",600,1978,"Bloco: Coração das Crianças - Bairro: Rocinha - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 18:00:00",-42.8121734,-22.7024506
"Cordão do Boitatá","Centro","Centro",2018-02-11,"Domingo  de Carnaval",1899-12-31 11:00:00,1899-12-31 11:00:00,1899-12-31 17:00:00,"praca xv rio de janeiro","Parado",50000,1997,"Bloco: Cordão do Boitatá - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 11:00:00",-43.1735877,-22.9030884
"Deita Mas Não Dorme","Taquara","Barra/JPA",2018-02-11,"Domingo de Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"rua caituba rio de janeiro","Parado",500,2009,"Bloco: Deita Mas Não Dorme - Bairro: Taquara - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 14:00:00",-43.3761001,-22.9170436
"É do Pandeiro!","Laranjeiras","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 15:00:00,1899-12-31 15:00:00,1899-12-31 20:00:00,"praca sao salvador rio de janeiro","Parado",300,2002,"Bloco: É do Pandeiro! - Bairro: Laranjeiras - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 15:00:00",NA,NA
"Explosão de Paquetá","Ilha de Paquetá","Centro",2018-02-11,"Domingo de Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 19:30:00,"praca sao roque rio de janeiro","Rua Padre Juvenal, Rua Dr. Aristão, Curva da Pedra, Rua José Bonifácio, Rua Furkin Werneck, Praça das Barcas.",600,2018,"Bloco: Explosão de Paquetá - Bairro: Ilha de Paquetá - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 14:00:00",NA,NA
"Fanfarani","Botafogo","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 15:00:00,1899-12-31 15:00:00,1899-12-31 21:00:00,"praca chaim weizman rio de janeiro","Praça Chaim Weizman - Parado",850,2009,"Bloco: Fanfarani - Bairro: Botafogo - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 15:00:00",-43.1820477,-22.9411623
"Fanfinha","Botafogo","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 09:00:00,1899-12-31 10:00:00,1899-12-31 13:00:00,"praca chaim weizman rio de janeiro","Praça Chaim Weizman - Parado",600,2011,"Bloco: Fanfinha - Bairro: Botafogo - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 09:00:00",-43.1820477,-22.9411623
"Folia do Galo","Copacabana","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 13:00:00,1899-12-31 16:00:00,1899-12-31 19:00:00,"rua julio de castilho  esquina com rua raul pompeia rio de janeiro","R. julio de castilho, raul pompeia, Rua francisco otaviano, av. atlantica esquina c/ julio de castilho",4000,2009,"Bloco: Folia do Galo - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 13:00:00",-43.1917598,-22.9844708
"Fome Zero","Madureira","Zona Norte 1",2018-02-11,"Domingo de Carnaval",1899-12-31 14:00:00,1899-12-31 15:00:00,1899-12-31 20:00:00,"rua dagmar da fonseca rio de janeiro","Rua Dagmar da Fonseca, Av. Edgard Ramero, Est. Do Portela, e retorna a origem.",1000,2009,"Bloco: Fome Zero - Bairro: Madureira - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 14:00:00",-43.3391004,-22.8740124
"Gladiadores de Copacabana","Copacabana","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 19:00:00,"avenida atlantica rio de janeiro","Avenida Atlântica, da Rua Constante Ramos até a Rua Hilário de Gouveia",2000,2007,"Bloco: Gladiadores de Copacabana - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 14:00:00",NA,NA
"Império da Folia","Catete","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 22:00:00,"rua bento lisboa  rio de janeiro","Rua Bento Lisboa, Rua Dois de Dezembro, Rua do Catete, Rua Pedro Américo e Rua Bento Lisboa até a esquina da Tavares Bastos",800,2003,"Bloco: Império da Folia - Bairro: Catete - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 16:00:00",-43.1793503,-22.9278495
"Laranjada Samba Clube","Laranjeiras","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 09:00:00,1899-12-31 11:00:00,1899-12-31 15:00:00,"praca jardim laranjeiras  rua general glicerio rio de janeiro","Rua General Glicério, Rua General Cristóvão Barcelos, retornando à Praça Jardim Laranjeiras",900,2003,"Bloco: Laranjada Samba Clube - Bairro: Laranjeiras - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 09:00:00",NA,NA
"Marcha Nerd","Tijuca","Tijuca e Adj",2018-02-11,"Domingo de Carnaval",1899-12-31 14:00:00,1899-12-31 15:00:00,1899-12-31 18:00:00,"praca xavier de brito rio de janeiro","Parado",900,2013,"Bloco: Marcha Nerd - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 14:00:00",-43.2434892,-22.9319676
"Maresia","Botafogo","Zona Sul",2018-02-11,"Domingo de Carnaval",1899-12-31 11:00:00,1899-12-31 11:00:00,1899-12-31 14:00:00,"enseada de botafogo rio de janeiro","PARADO",200,2016,"Bloco: Maresia - Bairro: Botafogo - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 11:00:00",NA,NA
"Mau Mau de Bangu","Bangu","Zona Oeste",2018-02-11,"Domingo de Carnaval",1899-12-31 17:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"rua acanto rio de janeiro","Rua Acanto, Rua Ajuará, Rua Minuanos, Rua Imaruí, Rua da Fábrica, Rua dos Açudes, Rua Oliveira Ribeiro, Rua Bangu, Rua Santa Cecília e Praça da Fé",500,1997,"Bloco: Mau Mau de Bangu - Bairro: Bangu - Regiao: Zona Norte 2Data: 2018-02-11 - Concentração 17:00:00",NA,NA
